song,plays,datetime,artist,album
Shape of You,145,11 Dec 2025, 20:52,Ed Sheeran,Divide
Blinding Lights,230,12 Dec 2025, 14:30,The Weeknd,After Hours
Someone Like You,89,10 Dec 2025, 09:15,Adele,21
Uptown Funk,178,09 Dec 2025, 18:45,Mark Ronson,Uptown Special
Thinking Out Loud,156,11 Dec 2025, 12:20,Ed Sheeran,X
Bohemian Rhapsody,201,08 Dec 2025, 21:30,Queen,A Night at the Opera
Rolling in the Deep,167,10 Dec 2025, 16:40,Adele,21
Levitating,189,12 Dec 2025, 19:55,Dua Lipa,Future Nostalgia
Starboy,143,09 Dec 2025, 11:25,The Weeknd,Starboy
Shape of You,67,13 Dec 2025, 08:10,Ed Sheeran,Divide
Wonderwall,134,08 Dec 2025, 14:15,Oasis,What's the Story Morning Glory
Bad Guy,176,11 Dec 2025, 22:05,Billie Eilish,When We All Fall Asleep
Radioactive,112,10 Dec 2025, 13:50,Imagine Dragons,Night Visions
Sweet Child O' Mine,198,09 Dec 2025, 20:30,Guns N' Roses,Appetite for Destruction
Hotel California,187,08 Dec 2025, 17:20,Eagles,Hotel California
